id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
103760,Central Centre 5 min walk to/from Central MTR,304876,,,Central & Western,22.28418,114.15431,Entire home/apt,1319,12,316,2024-02-13,1.85,1,364,0,
248140,Bright Studio - Soho - Central HK,1300549,Darren,,Central & Western,22.28228,114.14923,Entire home/apt,800,5,226,2025-05-31,1.36,1,24,21,
263081,"3 睡房, 2500 平方呎 有工人 Family Friendly! 在中環半山 有車",1370155,Chuster,,Central & Western,22.27723,114.15083,Private room,21084,10,0,,,1,362,0,
306515,"HongKong,Central Bright Double Room",1576511,Frederic,,Central & Western,22.28376,114.15313,Entire home/apt,1127,30,19,2015-08-14,0.12,1,364,0,
378047,LUXURY HONG KONG COUNTRY COW SHED,1805628,Elissa Claire,,Islands,22.26674,113.99269,Entire home/apt,587,2,81,2017-03-07,0.52,1,98,0,
494271,Private room in a beachside cottage for ladies,1209984,Daisy,,Islands,22.27184274100326,114.00395029676517,Private room,320,2,0,,,1,41,0,
505456,GREEN NEST IN  SHEUNG WAN HEART,1189239,Audrey,,Central & Western,22.28543,114.1489,Entire home/apt,1053,1,311,2025-06-01,1.96,1,323,22,
562659,"Spacious studio, 1min from Sogo(A)",2767759,Alfred,,Wan Chai,22.28113,114.18416,Entire home/apt,648,30,8,2025-04-25,0.10,10,244,4,
562775,Mixed Dorm Bed#2@269 Hennessy Road,2767794,Check Inn HK,,Wan Chai,22.27825,114.17699,Shared room,186,1,209,2025-02-21,1.77,23,365,1,
562822,Studio w/ private kit. & bath. (B),2767759,Alfred,,Wan Chai,22.27917,114.18577,Entire home/apt,500,90,11,2013-03-02,0.07,10,168,0,
562840,Mixed Dorm Bed#B@269 Hennessy Road,2767794,Check Inn HK,,Wan Chai,22.2782412,114.1769881,Shared room,186,1,29,2023-03-02,0.18,23,365,0,
578652,Modern family-friendly suite in fishing village,2846701,Veronica,,Islands,22.25382,113.86251,Hotel room,2058,1,15,2024-02-17,0.12,3,64,0,
603049,Deluxe Room@Espace Elastique-Tai O,2846701,Veronica,,Islands,22.25552,113.86369,Hotel room,1300,1,46,2023-07-02,0.34,3,98,0,
603050,Standard Rm@Espace Elastique-Tai O,2846701,Veronica,,Islands,22.25575,113.86351,Hotel room,900,1,30,2024-11-11,0.21,3,95,1,
603232,Discovery Bay -  Well  located 2 Bedroom apartment,2986287,Tish,,Islands,22.29313,114.01591,Entire home/apt,,4,39,2024-01-08,0.28,1,0,0,
645404,Creative Residence in Kowloon . WM (Monthly),634820,Wontonmeen,,Yau Tsim Mong,22.32532,114.16433,Shared room,100,30,220,2025-03-29,1.42,6,253,22,
646645,Creative Residence. Private Room (Monthly),634820,Wontonmeen,,Yau Tsim Mong,22.32532,114.16433,Private room,184,30,39,2024-06-05,0.25,6,241,0,
728122,Twin bed room for budget travellers,3784841,Albert,,Yau Tsim Mong,22.31807,114.17081,Private room,215,28,15,2025-03-05,0.10,6,213,3,
741936,Family Room For 3 to 4,3784841,Albert,,Yau Tsim Mong,22.31805,114.17074,Private room,238,28,4,2015-01-05,0.03,6,326,0,
741955,Double bed room for 2 travellers,3784841,Albert,,Yau Tsim Mong,22.31828,114.17047,Private room,179,28,21,2022-04-29,0.14,6,51,0,
742040,Private room for single traveller,3784841,Albert,,Yau Tsim Mong,22.31792,114.17042,Private room,170,28,45,2022-03-31,0.30,6,52,0,
764696,Single bed room with green view,4031260,,,North,22.50294,114.13365,Private room,380,30,40,2024-12-20,0.26,1,82,2,
767022,Hong Kong - Great views/Location!,1853636,Ella,,Southern,22.23025,114.21702,Entire home/apt,,90,5,2017-04-16,0.03,1,0,0,
788273,Come to live in Cheung Chau Island,4128982,Françoise,,Islands,22.21287,114.03027,Entire home/apt,1494,3,7,2023-05-02,0.05,2,233,0,
792974,STUDIO with ROOF in HEART of SOHO,2172438,Joy,,Central & Western,22.28044425470254,114.15063551221294,Entire home/apt,1031,14,52,2025-04-05,0.35,1,356,5,
816463,Colonial Style Designer Apartment,1443229,Shan,,Central & Western,22.28198,114.13258,Entire home/apt,825,2,18,2025-05-04,0.12,3,214,6,
825791,FANTASTIC LOCATION NEAR HK FAMOUS PIER VIEW,3820308,David,,Yau Tsim Mong,22.30209,114.17608,Entire home/apt,492,28,108,2025-05-04,0.71,26,208,12,
849316,Causeway Bay Nr Times Sq: Full Apartment,4414395,Mike,,Wan Chai,22.27742,114.18156,Entire home/apt,458,1,117,2025-05-03,0.83,1,44,11,
860891,Two Bedroom Apartment W. MID-LEVELS  西區2房單位 *近 MTR,4509858,Akiei,,Central & Western,22.28483,114.14237,Entire home/apt,,90,1,2022-12-11,0.03,3,89,0,
860892,Two Bedrooms Apartmt @ W. Mid-Level  西區2房單位 *近 MTR,4509858,Akiei,,Central & Western,22.28294,114.14081,Entire home/apt,,90,1,2017-12-01,0.01,3,83,0,
861654,City Center Apartment Near 3 MTR,3820308,David,,Yau Tsim Mong,22.307896,114.166949,Entire home/apt,459,1,45,2025-06-04,0.30,26,358,7,
869969,Studio available in Prince Edward,4584648,Ivy,,Kowloon City,22.32514,114.17712,Private room,217,30,2,2015-06-22,0.01,351,363,0,
870046,10 mins to CITY U --------- by MTR,4584648,Ivy,,Yau Tsim Mong,22.31318,114.16845,Entire home/apt,180,30,1,2014-05-29,0.01,351,245,0,
894221,Best room for you near MTR,4584648,Ivy,,Yau Tsim Mong,22.31453,114.16863,Private room,180,30,0,,,351,364,0,
894224,Tsimshatsui Room in Flat Share,4584648,Ivy,,Yau Tsim Mong,22.31006,114.17138,Private room,140,31,0,,,351,363,0,
903169,Nice room available in Yau ma tei(y8b),4584648,Ivy,,Yau Tsim Mong,22.31188,114.17065,Private room,180,29,2,2018-09-30,0.01,351,364,0,
926138,Lovely home Mong Kok MTR Railway 3 beds,4971086,,,Yau Tsim Mong,22.32257,114.17058,Entire home/apt,952,3,484,2025-06-15,3.23,7,254,47,
944283,Private 2 Bedrooms flat in Heart of Central-SOHO,5100812,Nana,,Central & Western,22.28457,114.15375,Entire home/apt,848,4,110,2025-06-05,0.73,2,200,23,
956857,One bedroom - Heart of Soho/Central,5100812,Nana,,Central & Western,22.28324,114.15418,Private room,469,6,9,2025-03-08,0.06,2,31,4,
957513,"Hollywood Rd, Spacious and Sunny",5207666,James,,Central & Western,22.28526,114.14737,Entire home/apt,560,2,49,2025-05-04,0.33,1,357,7,
970030,2- rooms apartment for 7 travellers,3784841,Albert,,Yau Tsim Mong,22.31721,114.1685,Private room,852,28,1,2016-02-14,0.01,6,356,0,
992390,Bright quiet studio in Hong Kong Central district,5181284,Peter,,Central & Western,22.28272,114.15307,Entire home/apt,646,6,184,2025-05-07,1.23,2,58,14,
1016855,FURNISHED Sheung Wan FLATSHARE,4584648,Ivy,,Central & Western,22.28665,114.15054,Private room,180,30,2,2016-07-03,0.02,351,364,0,
1019390,A room in hip creative Sheung Wan,2014297,Cheryl,,Central & Western,22.28589,114.15149,Private room,600,1,66,2019-05-05,0.44,1,364,0,
1033352,Room in Wan Chai,4584648,Ivy,,Wan Chai,22.27904,114.18033,Private room,,30,1,2014-01-04,0.01,351,365,0,
1033353,Sai Ying Poon Room in flatshare,4584648,Ivy,,Wan Chai,22.27761,114.17335,Private room,,31,1,2015-08-03,0.01,351,365,0,
1036146,Seaview  Apt in Discovery Bay,2376514,Sun-Ok,,Islands,22.29549,114.02187,Entire home/apt,1858,30,0,,,3,365,0,
1046393,Wanchai - Room available,4584648,Ivy,,Wan Chai,22.27841,114.17121,Private room,,30,0,,,351,365,0,
1060831,Duplex Town house at Beach village with Terrace,2376514,Sun-Ok,,Islands,22.29288,114.01123,Entire home/apt,3791,30,4,2015-01-03,0.03,3,364,0,
1072782,Nice and Big room in Fortress Hill,4584648,Ivy,,Eastern,22.28905,114.19639,Private room,180,30,0,,,351,364,0,
1145659,CWB Room,4584648,Ivy,,Wan Chai,22.27655,114.18077,Private room,,29,0,,,351,364,0,
1149104,++Welcome for short term rent ++,4584648,Ivy,,Yau Tsim Mong,22.29925,114.17537,Private room,206,60,0,,,351,364,0,
1165573,Mid-level 1br/1ba by escalator,4258815,Faye,,Central & Western,22.28122,114.15135,Entire home/apt,,3,199,2025-05-15,1.36,1,79,27,
1171633,Near MTR Welcome for short/longterm,4584648,Ivy,,Central & Western,22.28528,114.15186,Private room,206,31,2,2015-08-16,0.02,351,364,0,
1182474,"Kowloon Mongkok 1812 Twin Room A, near station",6361579,Man Ching Athena,,Yau Tsim Mong,22.31585,114.16888,Private room,334,2,126,2025-05-06,0.95,12,100,7,
1187498,Nice room in Sheung Wan,4584648,Ivy,,Central & Western,22.28564,114.14785,Private room,206,30,2,2013-09-14,0.01,351,364,0,
1187557,The cheaper room! Near with HKU!!!!,4584648,Ivy,,Central & Western,22.2845,114.12888,Private room,206,30,0,,,351,364,0,
1187738,Furnished Studio in western HK,4584648,Ivy,,Sham Shui Po,22.33247,114.16271,Private room,217,30,0,,,351,364,0,
1187739,Bright room Welcome for short term!,4584648,Ivy,,Sham Shui Po,22.3323,114.16243,Private room,180,30,0,,,351,364,0,
1187770,ROOFTOP room ( SUPER close to MTR),4584648,Ivy,,Yau Tsim Mong,22.31447,114.17082,Private room,160,29,0,,,351,364,0,
1226450,Flat share in Sheung Wan,4584648,Ivy,,Central & Western,22.28796,114.14945,Private room,180,31,1,2016-02-28,0.01,351,363,0,
1229848,Cool Stanley Surf Flat rftop May-Sept  Great spot!,6708889,Marcos,,Southern,22.21892,114.21369,Entire home/apt,600,7,34,2025-02-25,0.24,1,87,3,
1234994,Cozy studio Unit E Causeway Bay,2767759,Alfred,,Wan Chai,22.27886,114.18619,Entire home/apt,419,60,1,2025-01-30,0.21,10,20,1,
1312023,Flat share room in Yau Ma Tei,4584648,Ivy,,Yau Tsim Mong,22.31214,114.17227,Private room,620,30,0,,,351,364,0,
1623311,Spacious homey 1BR in Central SoHo Area,8632157,Sara,,Central & Western,22.28115,114.15348,Entire home/apt,,7,6,2015-12-28,0.04,1,0,0,
1642196,Taikoo Shing Luxury High-Floor Apt,1190017,Paul,,Eastern,22.28934,114.21915,Entire home/apt,5000,30,0,,,5,357,0,
1704664,Modern 2BR/2Bath Seaview apt with balcony/1min MTR,3741579,Ning,,Yau Tsim Mong,22.31343,114.1703319,Entire home/apt,1614,3,19,2025-05-26,1.37,1,297,17,
1774268,"Sun & moon, food and drink",9318245,,,Yuen Long,22.48134,114.05844,Private room,651,1,3,2025-05-01,0.10,2,363,1,
1887852,Stunning Studio in Causeway Bay (c25c),4584648,Ivy,,Central & Western,22.28115,114.15777,Private room,230,30,2,2018-12-20,0.01,351,364,0,
1907254,TWO bedroom apartment @ W.Mid-level 西區2房單位 *近 MTR,4509858,Akiei,,Central & Western,22.28323,114.14365,Entire home/apt,1162,90,0,,,3,358,0,
1910193,FLATSHARE in North Point,4584648,Ivy,,Eastern,22.28853,114.19887,Private room,180,30,1,2015-07-25,0.01,351,364,0,
1922220,Right smack 'n Central Hong Kong!!,5181284,Peter,,Central & Western,22.28335,114.15275,Entire home/apt,647,20,90,2023-09-19,0.64,2,90,0,
1944230,3 BR hidden gem over hideaway beach,10056448,Annie,,Islands,22.29376,114.02168,Entire home/apt,1850,7,63,2025-03-31,0.45,1,165,1,
1971970,Wan Chai  room ---- Available  !!!,4584648,Ivy,,Wan Chai,22.27695,114.17563,Private room,,30,1,2015-01-07,0.01,351,365,0,
2023516,WANCHAI  Room --  *************,4584648,Ivy,,Wan Chai,22.27705,114.17593,Private room,,30,0,,,351,365,0,
2039863,ZA Newly renovated Unit 5 – Explore like a local,6067974,Wilson,,Wan Chai,22.28608,114.1912,Entire home/apt,1200,28,54,2021-04-08,0.39,68,180,0,
2079554,Nice room in Shek Tong Tsui,4584648,Ivy,,Central & Western,22.28522,114.13643,Private room,180,30,1,2014-05-14,0.01,351,364,0,
2104151,City Centre Mong Kok  MTR Railway 3 beds,4971086,,,Yau Tsim Mong,22.32238,114.17041,Entire home/apt,903,3,443,2025-06-02,3.25,7,205,50,
2186111,香港油麻地｜3分鐘到地鐵雙人房+沙發連獨立衛浴清潔維修家具WiFi匙卡系統24CCTV非代理可長短租,10428889,The,,Yau Tsim Mong,22.31371,114.17006,Private room,,30,0,,,12,363,0,
2217839,Room in Fortress Hill - F4c,4584648,Ivy,,Eastern,22.28942,114.19454,Private room,160,30,1,2014-01-27,0.01,351,364,0,
2333604,Room Near MTR station HK Island,11920400,,,Eastern,22.29182,114.20248,Private room,900,5,0,,,1,358,0,
